,기준 년코드,기준_분기_코드,상권_구분_코드, 상권_구분_코드_명,상권_코드,상권_코드_명,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,행정구_명
0,2021,3분기,U,관광특구,1001496,강남 마이스 관광특구,84144,42839,41306,5308,17883,23311,18730,10423,8490,6223,17115,19093,19727,17246,4738,12423,13019,13178,13992,13701,9591,8244,205310,445727,11680,11680580,강남구
1,2021,2분기,U,관광특구,1001496,강남 마이스 관광특구,95914,47931,47982,5297,20682,27920,21070,11565,9379,6249,18973,22195,22769,20305,5423,14551,15070,14804,15586,15381,11155,9367,205310,445727,11680,11680580,강남구
2,2021,1분기,U,관광특구,1001496,강남 마이스 관광특구,88025,44225,43800,5063,18782,25537,19251,10641,8750,6058,17186,20113,21007,18870,4790,13456,14127,14243,14019,13307,10139,8735,205310,445727,11680,11680580,강남구
3,2020,4분기,U,관광특구,1001496,강남 마이스 관광특구,90836,46313,44523,4351,19931,26440,19817,11035,9265,5806,18057,20928,21377,19466,5202,14166,14782,15082,14512,13934,10092,8270,205310,445727,11680,11680580,강남구
4,2021,3분기,U,관광특구,1001495,잠실 관광특구,3029714,1470103,1559610,280084,669658,728719,495157,386555,469543,550936,587593,452355,481889,626398,330542,426509,430062,440535,443585,447048,433886,408089,210191,446339,11710,11710566,송파구
5,2021,2분기,U,관광특구,1001495,잠실 관광특구,2998695,1453421,1545274,267180,680201,724138,487004,381746,458425,542485,566015,446579,471664,641020,330931,420601,428274,436621,431547,440036,436458,405158,210191,446339,11710,11710566,송파구
6,2021,1분기,U,관광특구,1001495,잠실 관광특구,2941031,1439114,1501917,261126,648879,706733,481139,377465,465687,537235,561684,440800,471315,613332,316664,417800,425904,431356,422804,421178,422680,399309,210191,446339,11710,11710566,송파구
7,2020,4분기,U,관광특구,1001495,잠실 관광특구,2956754,1445027,1511727,248574,662136,712862,480769,382184,470229,563305,565515,434617,456633,597809,338875,419248,427087,430888,424432,431483,427626,395986,210191,446339,11710,11710566,송파구
8,2021,3분기,U,관광특구,1001494,종로?청계 관광특구,3492107,1906365,1585740,108408,577552,646844,657538,656892,844872,408969,715963,736594,735780,644180,250620,534601,547488,554647,582320,577846,401670,293534,199768,452273,11110,11110615,종로구
9,2021,2분기,U,관광특구,1001494,종로?청계 관광특구,3889871,2120612,1769259,112828,647107,738727,739216,728774,923217,436093,778855,814205,818207,752413,290099,617545,632500,613934,631677,628893,441076,324246,199768,452273,11110,11110615,종로구
