,기준_년_코드,기준_분기_코드,서비스_업종_코드_명,상권_코드_명,분기당_매출_금액,점포수,시군구_명,매출/점포수
0,2021,3,전자상거래업,강남 마이스 관광특구,1713936.0,8,강남구,1485429.25
1,2021,3,가전제품,강남 마이스 관광특구,1299769388.0,8,강남구,861476406.0833333
2,2021,3,가구,강남 마이스 관광특구,11847368805.0,6,강남구,1103585211.9513888
3,2021,3,화초,강남 마이스 관광특구,325096886.0,6,강남구,185235881.3875
4,2021,3,섬유제품,강남 마이스 관광특구,900990801.0,5,강남구,267040935.70833337
5,2021,3,완구,강남 마이스 관광특구,283790895.0,7,강남구,236424093.28571427
6,2021,3,운동/경기용품,강남 마이스 관광특구,7936522897.0,12,강남구,1381810339.6333177
7,2021,3,화장품,강남 마이스 관광특구,22843218917.0,54,강남구,328366153.7579725
8,2021,3,문구,강남 마이스 관광특구,2007815573.0,11,강남구,418387270.0
9,2021,3,의약품,강남 마이스 관광특구,2556212035.0,10,강남구,988281369.0666666
10,2021,3,시계및귀금속,강남 마이스 관광특구,2319560351.0,27,강남구,187276820.3907134
11,2021,3,안경,강남 마이스 관광특구,818226061.0,8,강남구,401790995.875
12,2021,3,가방,강남 마이스 관광특구,7104040233.0,26,강남구,206119229.84723547
13,2021,3,신발,강남 마이스 관광특구,139482541.0,44,강남구,17369556.191545893
14,2021,3,일반의류,강남 마이스 관광특구,51602807750.0,261,강남구,239565731.17313933
15,2021,3,반찬가게,강남 마이스 관광특구,11517000000.0,13,강남구,723177701.7708335
16,2021,3,핸드폰,강남 마이스 관광특구,652281162.0,7,강남구,352569325.015625
17,2021,3,컴퓨터및주변장치판매,강남 마이스 관광특구,75659697.0,20,강남구,17062033.75
18,2021,3,편의점,강남 마이스 관광특구,1857458362.0,12,강남구,528674003.0489927
19,2021,3,슈퍼마켓,강남 마이스 관광특구,233882072.0,14,강남구,48667583.91071428
20,2021,3,피부관리실,강남 마이스 관광특구,70442646.0,2,강남구,62703474.5
21,2021,3,네일숍,강남 마이스 관광특구,103835408.0,3,강남구,80361571.125
22,2021,3,미용실,강남 마이스 관광특구,488956158.0,6,강남구,126055643.1740864
23,2021,3,스포츠클럽,강남 마이스 관광특구,685493314.0,1,강남구,449671097.625
24,2021,3,치과의원,강남 마이스 관광특구,780453667.0,4,강남구,797923431.0
