,기준_년_코드,기준_분기_코드,서비스_업종_코드_명,상권_코드_명,분기당_매출_금액,점포수,시군구_명,매출/점포수
238,2019,1,중식음식점,강남 마이스 관광특구,924276290.0,11,강남구,424963083.4545455
239,2019,1,패스트푸드점,강남 마이스 관광특구,2701754994.0,15,강남구,687021995.5954862
240,2019,1,핸드폰,강남 마이스 관광특구,2600513722.0,6,강남구,311368710.7916667
241,2019,1,운동/경기용품,강남 마이스 관광특구,5127747562.0,14,강남구,928257012.625
242,2019,1,반찬가게,강남 마이스 관광특구,5214000000.0,13,강남구,392919772.509375
243,2019,1,미용실,강남 마이스 관광특구,1344768478.0,8,강남구,137791004.125
244,2019,1,섬유제품,강남 마이스 관광특구,1388780308.0,7,강남구,275427663.7470238
245,2019,1,가전제품,강남 마이스 관광특구,1854968217.0,8,강남구,903824239.0
246,2019,1,화초,강남 마이스 관광특구,961599308.0,6,강남구,186012657.2516234
247,2019,1,치과의원,강남 마이스 관광특구,683566959.0,4,강남구,620814905.25
248,2019,1,피부관리실,강남 마이스 관광특구,172099000.0,3,강남구,131874650.51934525
249,2019,1,안경,강남 마이스 관광특구,876967660.0,9,강남구,441033961.6666667
250,2019,1,커피-음료,강남 마이스 관광특구,2677217715.0,38,강남구,330195612.1052632
251,2019,1,일반의류,강남 마이스 관광특구,26942607885.0,278,강남구,287414687.56410253
252,2019,1,의약품,강남 마이스 관광특구,2836900626.0,7,강남구,1615150929.766667
253,2019,1,전자상거래업,강남 마이스 관광특구,15491396.0,8,강남구,38503289.125
254,2019,1,양식음식점,강남 마이스 관광특구,5418287802.0,36,강남구,603655818.8769841
255,2019,1,일반의원,강남 마이스 관광특구,1035740503.0,5,강남구,674791302.0
256,2019,1,네일숍,강남 마이스 관광특구,112919069.0,5,강남구,90049301.39999999
257,2019,1,제과점,강남 마이스 관광특구,3786811267.0,20,강남구,764934009.374812
258,2019,1,스포츠클럽,강남 마이스 관광특구,1480186092.0,1,강남구,803366693.625
259,2019,1,가방,강남 마이스 관광특구,2372196333.0,31,강남구,251097604.5
260,2019,1,세탁소,강남 마이스 관광특구,167159164.0,1,강남구,126871299.0
261,2019,1,완구,강남 마이스 관광특구,672658304.0,9,강남구,286551796.7777778
262,2019,1,시계및귀금속,강남 마이스 관광특구,3216438778.0,36,강남구,308799057.5
263,2019,1,화장품,강남 마이스 관광특구,65964742853.0,50,강남구,405308686.83412695
264,2019,1,컴퓨터및주변장치판매,강남 마이스 관광특구,94890778.0,21,강남구,59033548.87857142
265,2019,1,분식전문점,강남 마이스 관광특구,5983270600.0,26,강남구,365653728.0824176
266,2019,1,인테리어,강남 마이스 관광특구,1551990506.0,5,강남구,161087094.7083333
267,2019,1,편의점,강남 마이스 관광특구,5086444357.0,11,강남구,1752431524.5357141
268,2019,1,일식음식점,강남 마이스 관광특구,2333239402.0,16,강남구,650231791.9080882
269,2019,1,한식음식점,강남 마이스 관광특구,5570934030.0,41,강남구,546881438.5992582
270,2019,1,슈퍼마켓,강남 마이스 관광특구,4975616711.0,16,강남구,1244697103.6855392
271,2019,1,문구,강남 마이스 관광특구,1597418969.0,12,강남구,592934724.6858975
272,2019,1,신발,강남 마이스 관광특구,1036412276.0,46,강남구,79257156.33876471
513,2018,4,치킨전문점,강남 마이스 관광특구,311310353.0,1,강남구,311310353.0
522,2018,4,여행사,강남 마이스 관광특구,64957291.0,9,강남구,7217476.777777778
525,2018,4,예술품,강남 마이스 관광특구,492152772.0,9,강남구,35327853.42857143
527,2018,4,사진관,강남 마이스 관광특구,99238921.0,4,강남구,24809730.25
533,2018,4,가구,강남 마이스 관광특구,227717060.0,6,강남구,37952843.333333336
534,2018,4,부동산중개업,강남 마이스 관광특구,3726776353.0,10,강남구,57026122.171651796
537,2018,4,법무사사무소,강남 마이스 관광특구,76323573.0,2,강남구,38161786.5
850,2019,1,신발,잠실 관광특구,9100279445.0,73,송파구,209270061.375
851,2019,1,치킨전문점,잠실 관광특구,574580626.0,9,송파구,201706087.68686867
852,2019,1,가구,잠실 관광특구,811435021.0,15,송파구,184472669.025
853,2019,1,일반의류,잠실 관광특구,3557458576.0,462,송파구,83917054.90664783
854,2019,1,반찬가게,잠실 관광특구,183599585.0,36,송파구,64652395.58304411
855,2019,1,편의점,잠실 관광특구,10777790782.0,55,송파구,868548227.2726476
856,2019,1,안경,잠실 관광특구,626279647.0,9,송파구,340722168.625
857,2019,1,양식음식점,잠실 관광특구,1951655206.0,72,송파구,147249233.27943614
858,2019,1,당구장,잠실 관광특구,153498157.0,12,송파구,44974947.83333333
859,2019,1,제과점,잠실 관광특구,3391807587.0,35,송파구,399708809.49915963
860,2019,1,스포츠클럽,잠실 관광특구,249766315.0,6,송파구,418371336.3666667
861,2019,1,골프연습장,잠실 관광특구,566603833.0,9,송파구,238507164.8611111
862,2019,1,고시원,잠실 관광특구,171350869.0,7,송파구,57245871.71428572
863,2019,1,의약품,잠실 관광특구,1499946488.0,26,송파구,350366810.3276353
864,2019,1,가전제품,잠실 관광특구,11425996260.0,16,송파구,903824239.0
865,2019,1,서적,잠실 관광특구,7815414.0,14,송파구,5974800.618131869
866,2019,1,섬유제품,잠실 관광특구,485421745.0,14,송파구,105182168.99120879
867,2019,1,완구,잠실 관광특구,4347748712.0,7,송파구,970592360.5895936
868,2019,1,피부관리실,잠실 관광특구,330706263.0,39,송파구,65952962.99533799
869,2019,1,자동차수리,잠실 관광특구,575504695.0,9,송파구,470174377.1919192
870,2019,1,전자상거래업,잠실 관광특구,6981503045.0,54,송파구,319063036.7754193
871,2019,1,일식음식점,잠실 관광특구,471413604.0,34,송파구,106397767.61764707
872,2019,1,PC방,잠실 관광특구,378130727.0,2,송파구,356605908.5
873,2019,1,분식전문점,잠실 관광특구,9458312638.0,62,송파구,365653728.0824176
874,2019,1,자전거 및 기타운송장비,잠실 관광특구,66292099.0,2,송파구,395325313.0
875,2019,1,치과의원,잠실 관광특구,2626279755.0,11,송파구,1028321413.8181819
876,2019,1,문구,잠실 관광특구,250252555.0,14,송파구,76236545.3
877,2019,1,화초,잠실 관광특구,43004442.0,13,송파구,12295402.384615384
878,2019,1,중식음식점,잠실 관광특구,671887454.0,16,송파구,219893456.18333334
879,2019,1,노래방,잠실 관광특구,804997716.0,37,송파구,91333779.76925676
880,2019,1,네일숍,잠실 관광특구,56316878.0,7,송파구,39556113.67619048
881,2019,1,미용실,잠실 관광특구,1535420167.0,31,송파구,137791004.125
882,2019,1,패스트푸드점,잠실 관광특구,3395958822.0,25,송파구,535459591.58934474
883,2019,1,화장품,잠실 관광특구,7631136929.0,117,송파구,296784662.0850213
884,2019,1,호프-간이주점,잠실 관광특구,6034445228.0,69,송파구,422503292.93615365
885,2019,1,커피-음료,잠실 관광특구,8592590225.0,66,송파구,360336162.4464039
886,2019,1,스포츠 강습,잠실 관광특구,817122329.0,17,송파구,221077495.19504645
887,2019,1,한의원,잠실 관광특구,812701539.0,8,송파구,373046320.375
888,2019,1,슈퍼마켓,잠실 관광특구,7414761820.0,30,송파구,899654971.8747025
889,2019,1,컴퓨터및주변장치판매,잠실 관광특구,289018686.0,34,송파구,151990507.64957982
890,2019,1,시계및귀금속,잠실 관광특구,1364860864.0,39,송파구,191599776.23577768
891,2019,1,한식음식점,잠실 관광특구,27519080327.0,240,송파구,474244297.0817788
892,2019,1,일반의원,잠실 관광특구,2722438679.0,22,송파구,533249756.0256917
893,2019,1,운동/경기용품,잠실 관광특구,7379534225.0,26,송파구,928257012.625
894,2019,1,여관,잠실 관광특구,5707568640.0,68,송파구,372329447.4407629
895,2019,1,세탁소,잠실 관광특구,92298670.0,7,송파구,54654532.80357143
982,2019,3,가방,잠실 관광특구,275592626.0,39,송파구,95726246.56410256
1198,2018,4,예술품,잠실 관광특구,4846579.0,9,송파구,538508.7777777778
1203,2018,4,부동산중개업,잠실 관광특구,3081997963.0,94,송파구,32787212.372340426
1204,2018,4,예술학원,잠실 관광특구,1085488.0,3,송파구,361829.3333333333
1219,2018,4,일반교습학원,잠실 관광특구,6000000.0,12,송파구,500000.0
1222,2018,4,사진관,잠실 관광특구,1120806473.0,15,송파구,39206233.609375
1223,2018,4,통신기기수리,잠실 관광특구,3362263.0,3,송파구,1120754.3333333333
1224,2018,4,독서실,잠실 관광특구,8653846.0,3,송파구,2884615.3333333335
1225,2018,4,여행사,잠실 관광특구,537159713.0,26,송파구,20659988.96153846
1249,2018,4,육류판매,잠실 관광특구,106913757.0,6,송파구,17818959.5
1643,2019,1,스포츠클럽,종로·청계 관광특구,251391840.0,5,종로구,377531523.3333334
1644,2019,1,분식전문점,종로·청계 관광특구,3604020955.0,120,종로구,120887697.52086712
1645,2019,1,가전제품,종로·청계 관광특구,3638683456.0,120,종로구,101776289.4808147
1646,2019,1,가전제품수리,종로·청계 관광특구,191924184.0,38,종로구,10909861.857752489
1647,2019,1,컴퓨터및주변장치판매,종로·청계 관광특구,393740380.0,34,종로구,51569245.29600273
1648,2019,1,당구장,종로·청계 관광특구,989406254.0,30,종로구,85325565.6875
1649,2019,1,의약품,종로·청계 관광특구,7825304919.0,56,종로구,605013154.14143
1650,2019,1,중식음식점,종로·청계 관광특구,3322316671.0,44,종로구,295981918.4687857
1651,2019,1,핸드폰,종로·청계 관광특구,492040136.0,33,종로구,97172603.74978355
1652,2019,1,네일숍,종로·청계 관광특구,20110000.0,6,종로구,19707787.833333332
1653,2019,1,편의점,종로·청계 관광특구,5811062788.0,43,종로구,544345665.4193254
1654,2019,1,패스트푸드점,종로·청계 관광특구,1078289732.0,24,종로구,187846999.6904762
1655,2019,1,미용실,종로·청계 관광특구,1135356246.0,27,종로구,137791004.125
1656,2019,1,양식음식점,종로·청계 관광특구,2157363815.0,47,종로구,205047090.92590642
1657,2019,1,슈퍼마켓,종로·청계 관광특구,3820083410.0,184,종로구,79863736.00360256
1658,2019,1,고시원,종로·청계 관광특구,875588274.0,5,종로구,385419985.25
1659,2019,1,한의원,종로·청계 관광특구,1791752036.0,18,종로구,413844102.7222222
1660,2019,1,애완동물,종로·청계 관광특구,903175854.0,30,종로구,124017970.27311829
1661,2019,1,커피-음료,종로·청계 관광특구,5409146148.0,124,종로구,185575992.74203932
1662,2019,1,인테리어,종로·청계 관광특구,1122294499.0,42,종로구,87146056.57142857
1663,2019,1,PC방,종로·청계 관광특구,359794246.0,5,종로구,267923084.39047617
1664,2019,1,반찬가게,종로·청계 관광특구,51155632.0,35,종로구,22532171.32352941
1665,2019,1,여관,종로·청계 관광특구,1530116718.0,57,종로구,125499603.0627145
1666,2019,1,한식음식점,종로·청계 관광특구,43300488737.0,497,종로구,334219449.03883976
1667,2019,1,화장품,종로·청계 관광특구,3388406276.0,54,종로구,309598205.5887542
1668,2019,1,서적,종로·청계 관광특구,1498634153.0,59,종로구,133086478.61659849
1669,2019,1,제과점,종로·청계 관광특구,865328392.0,20,종로구,167901411.1189109
1670,2019,1,일반교습학원,종로·청계 관광특구,413974733.0,12,종로구,100873165.14102563
1671,2019,1,호프-간이주점,종로·청계 관광특구,7933730600.0,110,종로구,366948128.01501906
1672,2019,1,화초,종로·청계 관광특구,111645050.0,15,종로구,28797362.461904764
1673,2019,1,섬유제품,종로·청계 관광특구,15675388046.0,352,종로구,195602511.56996638
